"","�..Category","Subcat","name","price","stars","votes"
"1","Programming & Tech","Data Analysis & Reports","build automated and insightful power bi report","137.76","5.0","10"
"2","Lifestyle","Greeting Cards & Videos","get kermit to personalize a video birthday greeting and song","4.44","5.0","1k+"
"3","Programming & Tech","Website Builders & CMS","build or redesign your existing squarespace website","66.66","5.0","68"
"4","Lifestyle","Cooking Lessons","create original eastern food cooking video recipe","17.78","4.9","5"
"5","Writing & Translation","Legal Writing","write gdpr privacy policy and terms and conditions for your website or app","8.89","5.0","2"
"6","Writing & Translation","UX Writing","provide professional copywrite material for website content","4.44","nul","nul"
"7","Writing & Translation","Podcast Writing","write podcast content and stories","8.89","nul","nul"
"8","Writing & Translation","Email Copy","copywrite your customers favorite emails","31.11","5.0","57"
"9","Writing & Translation","Legal Writing","write a legal terms and gdpr privacy policy","48.88","5.0","309"
"10","Digital Marketing","Local SEO","do local SEO for your website","88.88","5.0","4"
"11","Programming & Tech","Website Builders & CMS","design and redesign wix website","133.32","4.9","305"
"12","Lifestyle","Celebrity Impersonators","record my impersonation sebastion maniscalco","8.89","5.0","11"
"13","Writing & Translation","Online Language LessonsNew","be your english teacher or english tutor for 60 minute","4.44","5.0","51"
"14","Video & Animation","Slideshows Videos","create amazing photo, video slideshow with music","8.89","4.9","336"
"15","Writing & Translation","Product Descriptions","create outstanding amazon a plus enhanced brand content","31.11","5.0","57"
"16","Programming & Tech","Convert Files","convert PDF to word, pdf to excel, copy paste, data entry","4.44","5.0","6"
"17","Lifestyle","Spiritual & Healing","cast king lucifer obsession lust spell to make exback fast","4.44","5.0","32"
"18","Lifestyle","Personal StylistsNew","be your personal stylist","22.22","5.0","19"
"19","Video & Animation","eLearning Video ProductionNew","edit your online course video","66.66","5.0","16"
"20","Video & Animation","Product Photography","produce unique recipes with food photography","13.33","5.0","9"
"21","Music & Audio","Podcast EditingNew","professionally do podcast editing","17.78","5.0","78"
"22","Video & Animation","Animation for Streamers","Our studio will do professional twitch or mixer overlay for your stream","222.19","4.8","8"
"23","Video & Animation","Screencasting Videos","do a screencast instructional or tutorial video in 24 hours","4.44","5.0","7"
"24","Lifestyle","Your Message On...","do happy birthday video song with a custom message","8.89","5.0","27"
"25","Writing & Translation","Podcast Writing","write worthy podcast episodes for you","13.33","4.8","6"
"26","Programming & Tech","User Testing","user test your website or app","31.11","5.0","75"
"27","Writing & Translation","Proofreading & Editing","provide book editing and proofreading","4.44","5.0","1k+"
"28","Video & Animation","Video Editing","do professional video editing and post production","44.44","5.0","1k+"
"29","Video & Animation","Local PhotographyBeta","high quality product photography","195.53","4.8","4"
"30","Digital Marketing","Domain Research","do you 5 valuable unique com domain names and complete keyword research report","4.44","5.0","1"
"31","Writing & Translation","Creative Writing","write an impeccable bio or biography","13.33","4.7","20"
"32","Lifestyle","Your Message On...","be your female model","8.89","4.9","6"
"33","Digital Marketing","E-Commerce Marketing","get amazon a plus content on your amazon listing","128.87","4.9","135"
"34","Writing & Translation","Transcripts","do a 30 minutes spanish transcription in 24 hours","4.44","4.9","45"
"35","Lifestyle","Celebrity Impersonators","say anything you want in a batman impression with video","4.44","5.0","1"
"36","Video & Animation","Video Editing","create a youtube top 10 list video","57.77","5.0","48"
"37","Writing & Translation","Website Content","write an engaging and SEO optimized web page","26.66","4.9","16"
"38","Lifestyle","Greeting Cards & Videos","make greeting video from donald trump for happy birthday or any holiday event","4.44","5.0","42"
"39","Digital Marketing","Web Traffic","send quality USA and eu traffic from 5k","44.44","5.0","119"
"40","Video & Animation","Animated GIFs","animated GIF icon or banner for your website, app, social media","8.89","5.0","28"
"41","Writing & Translation","Grant Writing","write winning grant proposal, sponsorship, nonprofit, 501c3","26.66","5.0","11"
"42","Video & Animation","3D Product Animation","render architectural realistic animation on lumion 10","26.66","5.0","8"
"43","Business","Business Plans","business plans for loan, investor, bank, sba, proposal","22.22","5.0","22"
"44","Video & Animation","Game Trailers","made your own game trailer in game engines","17.78","nul","nul"
"45","Business","Lead Generation","give you 2020 verified cell number leads from USA","17.78","5.0","11"
"46","Programming & Tech","Web Programming","build web or mobile app in bubble or fix yours","106.65","5.0","13"
"47","Business","Legal Consulting","provide music law and entertainment law, contracts and services","8.89","5.0","7"
"48","Business","HR ConsultingNew","assist in human resource management tasks","13.33","4.9","79"
"49","Programming & Tech","Chatbots","program you a discord bot","4.44","nul","nul"
"50","Lifestyle","Cooking Lessons","send exciting chinese keto recipes with pictures","22.22","5.0","2"
"51","Business","Project ManagementNew","test website and assure quality plus project management task","17.78","5.0","3"
"52","Writing & Translation","UX Writing","write clear and concise copy that is user friendly","35.55","5.0","5"
"53","Music & Audio","DJ Drops & Tags","make dj drops intros radio sweepers and jingles","22.22","4.8","30"
"54","Music & Audio","Mixing & Mastering","mix and master your rock metal pop song","22.22","5.0","83"
"55","Digital Marketing","Influencer Marketing","promote on my 830k tiktok account","111.10","5.0","11"
"56","Digital Marketing","Web Traffic","drive organic web traffic","35.55","4.9","172"
"57","Business","Career Counseling","help perfect your interviewing skills","26.66","nul","nul"
"58","Lifestyle","Family & Genealogy","do research on one person","22.22","4.9","14"
"59","Writing & Translation","Business Names & Slogans","create perfect business name brand name domain name company name","4.44","5.0","3"
"60","Lifestyle","Astrology & Readings","cast a business psychic spell to increase your sales","13.33","5.0","316"
"61","Writing & Translation","Proofreading & Editing","be your professional book editor","177.76","5.0","31"
"62","Programming & Tech","Game Development","create a VR game for you with unity and awesome tools","2,222","5.0","8"
"63","Video & Animation","Article to VideoNew","convert your article, blog or script into engaging video","4.44","5.0","28"
"64","Lifestyle","Spiritual & Healing","cast an extreme focus spell on you to pass any exam or test","13.33","5.0","3"
"65","Programming & Tech","Data Analysis & Reports","create a stunning google data studio dashboard for you","44.44","5.0","188"
"66","Lifestyle","Viral Videos","provide choreography for your song","35.55","5.0","10"
"67","Writing & Translation","Creative Writing","write taboo and creative erotica just for you","22.22","4.8","3"
"68","Business","Branding Services","build positive online reputation management","4.44","5.0","22"
"69","Lifestyle","Traveling","give you a graceful chinese name","4.44","5.0","1"
"70","Writing & Translation","Case Studies","essay and case study on psychology, healthcare or other","8.89","4.8","33"
"71","Programming & Tech","Game Development","make an amazing HTML5 web video game","88.88","5.0","152"
"72","Video & Animation","Screencasting Videos","make HD screencast how to use website or app video","8.89","4.9","19"
"73","Music & Audio","Session Musicians","record turkish baglama saz for your project or song","13.33","5.0","3"
"74","Programming & Tech","Desktop Applications","develop windows,  linux and mac desktop applications","311.07","5.0","40"
"75","Video & Animation","Short Video Ads","create a modern facebook video ad for your business","311.07","5.0","574"
"76","Writing & Translation","White Papers","write and design a professional ico, ieo white paper","26.66","5.0","1"
"77","Video & Animation","Article to VideoNew","create video for your blog post and you tube channel using lumen5","4.44","4.9","43"
"78","Lifestyle","Online Lessons","create your online course with well researched content","177.76","5.0","15"
"79","Music & Audio","Vocal Tuning","provide you pitch correction and vocal tuning service","8.89","5.0","2"
"80","Video & Animation","Visual Effects","add special or visual effects on video","13.33","5.0","291"
"81","Lifestyle","Arts & Crafts","design a custom made paper model with your logo on it","4.44","4.8","12"
"82","Video & Animation","Book Trailers","do a cinematic book trailer for your fiction book","97.77","5.0","28"
"83","Programming & Tech","Convert Files","ebook formatting kindle paperback book formatting kdp","8.89","4.9","1k+"
"84","Video & Animation","Logo Animation","make you amazing hollywood intro style","8.89","5.0","6"
"85","Writing & Translation","Press Releases","distribute press release on 70 german top news sites","266.63","5.0","4"
"86","Lifestyle","Fitness Lessons","give u the ebook fitness and exercise plus 50 articles plus website and license","4.44","5.0","18"
"87","Music & Audio","Podcast EditingNew","edit and make your podcast sound great","17.78","5.0","1k+"
"88","Writing & Translation","Research & Summaries","write communication papers for you","8.89","5.0","36"
"89","Programming & Tech","QA","do penetration testing of a website or web applications with detail report","44.44","5.0","27"
"90","Business","Business Consulting","create inventory for amazon fba shipment and shipping plan over 200 limit US UK","35.55","5.0","8"
"91","Video & Animation","Unboxing VideosNew","create you a unboxing stop motion product video","133.32","5.0","14"
"92","Video & Animation","Book Trailers","create HD book trailer","4.44","5.0","946"
"93","Video & Animation","Product Photography","produce beautiful product photography for your brand","88.88","5.0","49"
"94","Business","Branding Services","design an entire branding kit for your business","39.99","5.0","27"
"95","Programming & Tech","Web Programming","develop a web app using react js","884.33","4.8","31"
"96","Video & Animation","Spokespersons Videos","produce an apple style interview video","44.44","5.0","4"
"97","Video & Animation","Spokespersons Videos","be your costa rican website spokesperson in HD","26.66","4.8","18"
"98","Music & Audio","Voice Over","record and edit french pro voice over","4.44","4.9","130"
"99","Writing & Translation","Press Releases","write an effective and engaging press release","133.32","5.0","3"
"100","Lifestyle","Viral Videos","do fun and viral challenges","4.44","5.0","3"
"101","Video & Animation","Real Estate Promos","make 8 we buy houses real estate promo videos","13.33","4.9","82"
"102","Music & Audio","Producers & Composers","create custom professional orchestral or classical music","8.89","5.0","63"
"103","Writing & Translation","Resume Writing","get you your dream job through expert cv, resume writing and linkedin","75.55","4.9","66"
"104","Video & Animation","eLearning Video ProductionNew","create video course for udemy online learning","106.65","nul","nul"
"105","Programming & Tech","Databases","code sql,plsql,linux,unix bash shell scripts, powershell","4.44","5.0","1"
"106","Writing & Translation","Press Releases","write a german press release to boost your PR","57.77","5.0","63"
"107","Video & Animation","Logo Animation","create a custom professional 3d logo animation","244.41","5.0","507"
"108","Writing & Translation","Brand Voice & Tone","create powerful ad, brand, csr and website copywriting","44.44","4.9","20"
"109","Video & Animation","Real Estate Promos","make a real estate cinematic video commercial","22.22","4.9","65"
"110","Programming & Tech","QA","create automation test for your web and mobile app","17.78","5.0","4"
"111","Writing & Translation","Beta Reading","beta read and critique your novel","8.89","5.0","16"
"112","Video & Animation","Screencasting Videos","screen record and how to use website or app video","4.44","nul","nul"
"113","Music & Audio","Producers & Composers","produce, record and mix your song","222.19","5.0","191"
"114","Writing & Translation","Proofreading & Editing","edit your essay or personal statement","88.88","5.0","7"
"115","Writing & Translation","Scriptwriting","be your animated explainer video script writer","13.33","4.9","1k+"
"116","Video & Animation","Game Trailers","make this awesome gaming or movie teaser trailer","4.44","4.9","128"
"117","Video & Animation","Unboxing VideosNew","create cinematic unboxing video","173.31","5.0","30"
"118","Music & Audio","Online Music LessonsNew","teach you all about violin","13.33","5.0","2"
"119","Music & Audio","DJ Drops & Tags","voiceover, mix and master a killer dj drop or intro","8.89","5.0","20"
"120","Lifestyle","Craft Lessons","create craft video for you","8.89","nul","nul"
"121","Writing & Translation","Cover Letters","create a personalized cover letter for you","8.89","nul","nul"
"122","Music & Audio","Mixing & Mastering","Our studio will professionally mix and master your album","1,334","5.0","3"
"123","Programming & Tech","E-Commerce Development","build you a shopify website for your","79.99","nul","nul"
"124","Programming & Tech","Mobile Apps","design ui ux  for mobile app, website or landing page","8.89","4.8","57"
"125","Writing & Translation","Speechwriting","write a speech that will blow your audience away","35.55","nul","nul"
"126","Music & Audio","Vocal Tuning","do voice editing, tuning and mixing by a grad sound engineer","13.33","4.8","5"
